Approved symbol,UniProt ID(supplied by UniProt),NCBI Gene ID(supplied by NCBI)
IGKV6D-41,A0A0C4DH26,28869
TRGV8,A0A0C4DH27,6982
TRGV4,A0A0C4DH28,6977
IGHV1-3,A0A0C4DH29,28473
IGHV3-16,A0A0C4DH30,28447
IGHV1-18,A0A0C4DH31,28468
IGHV3-20,A0A0C4DH32,28445
IGHV1-24,A0A0C4DH33,28467
IGHV4-28,A0A0C4DH34,28400
IGHV3-35,A0A0C4DH35,28432
IGHV3-38,A0A0C4DH36,28429
IGHV5-51,A0A0C4DH38,28388
IGHV1-58,A0A0C4DH39,28464
IGHV4-61,A0A0C4DH41,28391
IGHV3-66,A0A0C4DH42,28412
IGHV2-70D,A0A0C4DH43,102723168
IGKV3D-7,A0A0C4DH55,28877
TRBV5-4,A0A0C4DH59,28611
IGHJ1,A0A0C4DH62,28483
IGKV1-8,A0A0C4DH67,28942
IGKV2-24,A0A0C4DH68,28923
IGKV1-9,A0A0C4DH69,28941
IGKV1-6,A0A0C4DH72,28943
IGKV1-12,A0A0C4DH73,28940
MT-RNR1,A0A0C5B5G6,4549
CCDC163,A0A0D9SF12,126661
PRAMEF33,A0A0G2JMD5,645382
IGHV1-69-2,A0A0G2JMI3,28458
IGLV5-39,A0A0G2JS06,28782
IGHV7-4-1,A0A0J9YVY3,57289
TEX13C,A0A0J9YWL9,100129520
TRBJ1-3,A0A0J9YWP8,28633
TRBJ1-6,A0A0J9YWX3,28630
TRBJ1-2,A0A0J9YX06,28634
IGHV3-64D,A0A0J9YX35,102723170
TRBV6-9,A0A0J9YX75,28598
PNMA6F,A0A0J9YX94,105373377
TRBJ1-1,A0A0J9YXA8,28635
TRBJ1-4,A0A0J9YXG5,28632
TRBJ1-5,A0A0J9YXM7,28631
PNMA6E,A0A0J9YXQ4,649238
IGHV5-10-1,A0A0J9YXX1,28386
TRBV6-2,A0A0J9YXY3,28605
TEX13D,A0A0J9YY54,100132015
TRBV10-1,A0A0K0K1A3,28585
TRBV6-5,A0A0K0K1A5,28602
TRBV30,A0A0K0K1B3,28557
TRBV11-1,A0A0K0K1C0,28582
TRBV27,A0A0K0K1C4,28560
TRBV6-1,A0A0K0K1D8,28606
TRBV7-7,A0A0K0K1E9,28591
TRBV10-3,A0A0K0K1G6,28583
TRBV10-2,A0A0K0K1G8,28584
CD300H,A0A0K2S4Q6,100130520
GLYATL1B,A0A0U1RQE8,100287520
DPEP2NB,A0A0U1RQF7,100131303
KLF18,A0A0U1RQI7,105378952
TMEM275,A0A0U1RQS6,105378696
CENPVL1,A0A0U1RR11,389857
C1orf232,A0A0U1RR37,110806296
ZNF593OS,A0A0U1RRA0,118568799
NBDY,A0A0U1RRE5,550643
CENPVL3,A0A0U1RRI6,347549
LBHD2,A0A0U1RRK4,107984640
MMP24OS,A0A0U1RRL7,101410538
SPTY2D1OS,A0A0U1RRN3,100506540
OR4M2B,A0A0X1KG70,118568804
LCE6A,A0A183,448835
C3orf85,A0A1B0GTC6,401081
TEX49,A0A1B0GTD5,255411
CSNKA2IP,A0A1B0GTH6,111064647
CCDC201,A0A1B0GTI1,114515518
TMEM272,A0A1B0GTI8,283521
FAM237A,A0A1B0GTK4,200726
FAM236D,A0A1B0GTK5,105373251
C20orf204,A0A1B0GTL2,284739
