Approved symbol,UniProt ID(supplied by UniProt),NCBI Gene ID(supplied by NCBI)
PKLR,P30613,5313
CLIP1,P30622,6249
SRI,P30626,6717
GNA15,P30679,2769
GSTT1,P30711,2952
SERPINB1,P30740,1992
GCH1,P30793,2643
SLC7A1,P30825,6541
ALDH1B1,P30837,219
ALDH3A1,P30838,218
SSTR1,P30872,6751
SSTR2,P30874,6752
POLR2B,P30876,5431
CHRNB4,P30926,1143
HTR1F,P30939,3355
OR1E1,P30953,8387
OR10J1,P30954,26476
GNRHR,P30968,2798
CALCR,P30988,799
NTSR1,P30989,4923
NTS,P30990,4922
LCN1,P31025,3933
SDHA,P31040,6389
CORO1A,P31146,11151
GDI1,P31150,2664
S100A7,P31151,6278
MAPK4,P31152,5596
MAT2A,P31153,4144
SRD5A2,P31213,6716
HOXD3,P31249,3232
HOXA10,P31260,3206
HOXA6,P31267,3203
HOXA7,P31268,3204
HOXA9,P31269,3205
HOXA11,P31270,3207
HOXA13,P31271,3209
HOXC8,P31273,3224
HOXC9,P31274,3225
HOXC12,P31275,3228
HOXC13,P31276,3229
HOXD11,P31277,3237
TLX1,P31314,3195
PRKAR1B,P31321,5575
PRKAR2B,P31323,5577
CPS1,P31327,1373
RRM2,P31350,6241
CD52,P31358,1043
FGF9,P31371,2254
SSTR4,P31391,6754
CASQ1,P31415,844
SDC4,P31431,6385
TIA1,P31483,7072
FMO4,P31512,2329
FMO3,P31513,2328
HIVEP2,P31629,3097
SLC5A2,P31639,6524
SLC6A6,P31641,6533
GABRA5,P31644,2558
SLC6A4,P31645,6532
DNAJA1,P31689,3301
AKT1,P31749,207
AKT2,P31751,208
IL2RG,P31785,3561
UQCRC1,P31930,7384
HIBADH,P31937,11112
ATIC,P31939,471
APOBEC3A,P31941,200315
HNRNPH3,P31942,3189
HNRNPH1,P31943,3187
CASP14,P31944,23581
YWHAB,P31946,7529
SFN,P31947,2810
STIP1,P31948,10963
S100A11,P31949,6282
FCGR2B,P31994,2213
FCGR2C,P31995,9103
CEACAM8,P31997,1088
L1CAM,P32004,3897
INPP5B,P32019,3633
PRDX2,P32119,7001
ARRB2,P32121,409
GK,P32189,2710
CCKAR,P32238,886
CCKBR,P32239,887
VIPR1,P32241,7433
OTX1,P32242,5013
OTX2,P32243,5015
MC4R,P32245,4160
CCR1,P32246,1230
BRS3,P32247,680
CCR7,P32248,1236
GPR183,P32249,1880
CHRNA3,P32297,1136
GRK4,P32298,2868
CXCR5,P32302,643
FOXN2,P32314,3344
CDA,P32320,978
DCTD,P32321,1635
PYCR1,P32322,5831
SLC8A1,P32418,6546
GBP1,P32455,2633
GBP2,P32456,2634
ELF1,P32519,1997
SSTR3,P32745,6753
HPD,P32754,3242
GTF2H1,P32780,2965
STX2,P32856,2054
IFNA8,P32881,3445
DSG3,P32926,1830
CSF2RB,P32927,1439
CTH,P32929,1491
ICAM3,P32942,3385
RPL9,P32969,6133
CD70,P32970,970
TNFSF8,P32971,944
MC5R,P33032,4161
CIITA,P33076,4261
ACSL1,P33121,2180
CDH5,P33151,1003
KIF5B,P33176,3799
CSTF2,P33240,1478
LSP1,P33241,4046
CYP2C18,P33260,1562
CYP2C19,P33261,1557
DUT,P33316,1854
GUCY1A2,P33402,2977
ABCC1,P33527,4363
CKS2,P33552,1164
CD80,P33681,941
S100A5,P33763,6276
S100A3,P33764,6274
H2BC3,P33778,3018
ABCD1,P33897,215
MAN1A1,P33908,4121
KDELR2,P33947,11014
TTK,P33981,7272
MCM4,P33991,4173
MCM5,P33992,4174
MCM7,P33993,4176
GALNS,P34059,2588
RNASE4,P34096,6038
NTF4,P34130,4909
SDC2,P34741,6383
CD68,P34810,968
BMP8B,P34820,656
SHMT1,P34896,6470
SHMT2,P34897,6472
GABRA3,P34903,2556
EVI2B,P34910,2124
EPHX2,P34913,2053
RYK,P34925,6259
HSPA1L,P34931,3305
HSPA4,P34932,3308
GRK5,P34947,2869
MPI,P34949,4351
HTR7,P34969,3363
CNR2,P34972,1269
TRHR,P34981,7201
OR1D2,P34982,4991
PTGER1,P34995,5731
CRHR1,P34998,1394
PRSS3,P35030,5646
GPC1,P35052,2817
BTC,P35070,685
PFN2,P35080,5217
USP6,P35125,9098
GJA4,P35212,2701
CA5A,P35218,763
CA8,P35219,767
CTNNA1,P35221,1495
CTNNB1,P35222,1499
IL13,P35225,3596
BMI1,P35226,648
PCGF2,P35227,7703
NOS2,P35228,4843
PHB1,P35232,5245
PTPN7,P35236,5778
SERPINB6,P35237,5269
NF2,P35240,4771
RDX,P35241,5962
RCVRN,P35243,5957
RPA3,P35244,6119
SFTPD,P35247,6441
RFC4,P35249,5984
RFC2,P35250,5982
RFC1,P35251,5981
RPL22,P35268,6146
GTF2F1,P35269,2962
SPR,P35270,6697
ADM,P35318,133
SPRR1A,P35321,6698
SPRR2B,P35325,6701
SPRR2A,P35326,6700
SSTR5,P35346,6755
ADRA1A,P35348,148
PTGS2,P35354,5743
HRH1,P35367,3269
ADRA1B,P35368,147
OPRM1,P35372,4988
RORA,P35398,6095
PTGER4,P35408,5734
MAS1L,P35410,116511
APLNR,P35414,187
THBS2,P35442,7058
THBS4,P35443,7060
HOXD12,P35452,3238
HOXD13,P35453,3239
DRD3,P35462,1814
IDUA,P35475,3425
SCN1A,P35498,6323
SCN4A,P35499,6329
UGT1A3,P35503,54659
UGT1A5,P35504,54579
CBS,P35520,875
CLCN1,P35523,1180
KRT9,P35527,3857
SAA4,P35542,6291
MSX2,P35548,4488
FBN1,P35555,2200
FBN2,P35556,2201
GCK,P35557,2645
PCK1,P35558,5105
IRS1,P35568,3667
AGL,P35573,178
G6PC1,P35575,2538
MYH9,P35579,4627
MYH10,P35580,4628
TIE1,P35590,7075
COPB2,P35606,9276
ACTN2,P35609,88
SOAT1,P35610,6646
ADD1,P35611,118
ADD2,P35612,119
BSG,P35613,682
TIMP3,P35625,7078
GRK3,P35626,157
FUS,P35637,2521
NUP214,P35658,8021
DEK,P35659,7913
CYLC1,P35663,1538
ATP7B,P35670,540
HNF1B,P35680,6928
SOX5,P35711,6660
SOX6,P35712,55553
SOX18,P35713,54345
SOX11,P35716,6664
MYH11,P35749,4629
GLRX,P35754,2745
ZNF93,P35789,81931
CHKA,P35790,1119
PPM1A,P35813,5494
IGFALS,P35858,3483
AHR,P35869,196
KRT20,P35900,54474
KRT2,P35908,3849
PDE6B,P35913,5158
HMGCL,P35914,3155
FLT4,P35916,2324
KDR,P35968,3791
PSMC2,P35998,5701
SLC16A2,P36021,6567
CHI3L1,P36222,1116
GGT2P,P36268,728441
GGT5,P36269,2687
GJA5,P36382,2702
GJC1,P36383,10052
TCF7,P36402,6932
ARL2,P36404,402
ARL3,P36405,403
TRIM23,P36406,373
MAP2K2,P36507,5605
ZNF76,P36508,7629
UGT2B10,P36537,7365
ATP5F1C,P36542,509
ATP6V1E1,P36543,529
CHRNA7,P36544,1139
CPOX,P36551,1371
ARR3,P36575,407
RPL4,P36578,6124
NUDT1,P36639,4521
LONP1,P36776,9361
PGM1,P36871,5236
PPP1CC,P36873,5501
FLT3,P36888,2322
BMPR1A,P36894,657
ACVR1B,P36896,91
TGFBR1,P36897,7046
GNL1,P36915,2794
LTBR,P36941,4055
SERPINB5,P36952,5268
POLR2I,P36954,5438
SERPINF1,P36955,5176
SREBF1,P36956,6720
DLST,P36957,1743
GMPR,P36959,2766
GPX4,P36969,2879
CFHR2,P36980,3080
ACVRL1,P37023,94
HSD17B3,P37058,3293
HSD17B2,P37059,3294
SCNN1A,P37088,6337
SRP14,P37108,6727
TGFBR2,P37173,7048
NUP62,P37198,23636
PPARG,P37231,5468
HPCAL1,P37235,3241
FDFT1,P37268,2222
ZEB1,P37275,6935
PIGA,P37287,5277
AVPR1A,P37288,552
TAGLN2,P37802,8407
TALDO1,P37837,6888
SNCA,P37840,6622
ETFB,P38117,2109
RBMX,P38159,27316
BRCA1,P38398,672
GNAL,P38405,2774
COIL,P38432,8161
GGCX,P38435,2677
IFNGR2,P38484,3460
SPAM1,P38567,6677
ITGAE,P38570,3682
LIPA,P38571,3988
ATP6V1A,P38606,523
HSPA9,P38646,3313
EIF4A3,P38919,9775
IGHMBP2,P38935,3508
CDKN1A,P38936,1026
RPS19,P39019,6223
RPL3,P39023,6122
COL15A1,P39059,1306
COL18A1,P39060,80781
GRIK1,P39086,2897
MPV17,P39210,4358
DDOST,P39656,1650
ANP32A,P39687,8125
FEN1,P39748,2237
PLA2G5,P39877,5322
CUX1,"P39880, Q13948",1523
MMP12,P39900,4321
GDNF,P39905,2668
CAPG,P40121,822
CAP2,P40123,10486
DCT,P40126,1638
ADCY8,P40145,114
IL6ST,P40189,3572
GP5,P40197,2814
CEACAM3,P40198,1084
CEACAM6,P40199,4680
CD96,P40200,10225
MYCNOS,P40205,10408
TXLNA,P40222,200081
THPO,P40225,7066
CCT6A,P40227,908
MPL,P40238,4352
CD79B,P40259,974
NNMT,P40261,4837
IFI27,P40305,3429
PSMB10,P40306,5699
CTRL,P40313,1506
VHL,P40337,7428
ADH7,P40394,131
PBX1,P40424,5087
PBX2,P40425,5089
PBX3,P40426,5090
RPL13A,P40429,23521
ARL1,P40616,400
ARL4A,P40617,10124
MLH1,P40692,4292
STAT3,P40763,6774
USP8,P40818,9101
PEX19,P40855,5824
SLC26A3,P40879,1811
MDH1,P40925,4190
MDH2,P40926,4191
IL15,P40933,3600
RFC5,P40937,5985
RFC3,P40938,5983
HADHA,P40939,3030
PMEL,P40967,6490
CCNF,P41002,899
EIF2S3,P41091,1968
ID1,P41134,3397
OPRD1,P41143,4985
OPRK1,P41145,4986
OPRL1,P41146,4987
LEP,P41159,3952
ETV5,P41161,2119
ETV3,P41162,2117
CASR,P41180,846
AQP2,P41181,359
BCL6,P41182,604
CETN2,P41208,1069
ETV6,P41212,2120
EIF2D,P41214,1939
CD200,P41217,4345
MNDA,P41218,4332
PRPH,P41219,5630
RGS2,P41220,5997
WNT5A,P41221,7474
PTGDS,P41222,5730
BUD31,P41223,8896
SOX3,P41225,6658
UBA7,P41226,7318
NAA10,P41227,8260
KDM5C,P41229,8242
P2RY2,P41231,5029
HNF4A,P41235,3172
PPP1R2,P41236,5504
APOBEC1,P41238,339
CSK,P41240,1445
PNPLA4,P41247,8228
GARS1,P41250,2617
IARS1,P41252,3376
NBL1,P41271,4681
TNFSF9,P41273,8744
MAP3K8,P41279,1326
FOLR3,P41439,2352
SLC19A1,P41440,6573
EIF1,P41567,10209
ADCYAP1R1,P41586,117
VIPR2,P41587,7434
GRM5,P41594,2915
HTR2B,P41595,3357
CCR2,P41597,729230
TSPAN7,P41732,7102
PRKCI,P41743,5584
MC3R,P41968,4159
ELK3,P41970,2004
ACTR1B,P42025,10120
CD86,P42081,942
ECI1,P42126,1632
ASIP,P42127,434
TMPO,"P42166, P42167",7112
STAT1,P42224,6772
STAT6,P42226,6778
STAT5A,P42229,6776
GRIA1,P42261,2890
GRIA2,P42262,2891
GRIA3,P42263,2892
MTREX,P42285,23517
AKR1C3,P42330,8644
ARHGAP25,P42331,9938
PIK3CA,P42336,5290
PIK3CB,P42338,5291
MTOR,P42345,2475
PI4KA,P42356,5297
HAL,P42357,3034
EPS15,P42566,2060
MLLT3,P42568,4300
CASP3,P42574,836
CASP2,P42575,835
DPP6,P42658,1804
RPS27,P42677,6232
MATK,P42679,4145
TEC,P42680,7006
TXK,P42681,7294
ABL2,P42684,27
FRK,P42685,2444
HELZ,P42694,9931
NCAPD3,P42695,23310
RBM34,P42696,23029
IL12RB1,P42701,3594
LIFR,P42702,3977
LRPPRC,P42704,10128
ACAA2,P42765,10449
RPL35,P42766,11224
WAS,P42768,7454
CDKN2A,"P42771, Q8N726",1029
CDKN2B,P42772,1030
CDKN2C,P42773,1031
PRCP,P42785,5547
CXCL5,P42830,6374
NSG1,P42857,27065
HTT,P42858,3064
ECE1,P42892,1889
MTHFR,P42898,4524
SLC1A3,P43003,6507
SLC1A2,P43004,6506
SLC1A1,P43005,6505
SLC1A4,P43007,6509
GDF5,P43026,8200
PAFAH1B1,P43034,5048
GUCA1A,P43080,2978
PTGFR,P43088,5737
PTGER3,P43115,5733
PTGER2,P43116,5732
PTGIR,P43119,5739
MCAM,P43121,4162
DCC,P43146,1630
CRAT,P43155,1384
CA7,P43166,766
GLP1R,P43220,2740
CTSO,P43234,1519
CTSK,P43235,1513
MATR3,P43243,9782
MSH2,P43246,4436
GRK6,P43250,2870
BTD,P43251,686
ETV4,P43268,2118
GPD2,P43304,2820
SSR1,P43307,6745
SSR2,P43308,6746
CRYBB2,P43320,1415
RAD52,P43351,5893
ALDH3B1,P43353,221
NR4A2,P43354,4929
MAGEA1,P43355,4100
MAGEA2,P43356,4101
MAGEA2B,P43356,266740
MAGEA3,P43357,4102
MAGEA4,P43358,4103
MAGEA5P,P43359,4104
MAGEA6,P43360,4105
MAGEA8,P43361,4107
MAGEA9,P43362,4108
MAGEA9B,P43362,728269
MAGEA10,P43363,4109
MAGEA11,P43364,4110
MAGEA12,P43365,4111
MAGEB1,P43366,4112
PTPN9,P43378,5780
ZAP70,P43403,7535
SYK,P43405,6850
RANBP1,P43487,5902
TNFRSF4,P43489,7293
NAMPT,P43490,10135
KIR2DL1,P43626,3802
KIR2DL2,P43627,3803
KIR2DL3,P43628,3804
KIR3DL1,P43629,3811
KIR3DL2,P43630,3812
KIR2DS2,P43631,100132285
KIR2DS4,P43632,3809
AFM,P43652,173
LPAR6,P43657,10161
CHRNA4,P43681,1137
PSMC4,P43686,5704
GATA4,P43694,2626
NKX2-1,P43699,7080
TSFM,P43897,10102
TNNT3,P45378,7140
TNNT2,P45379,7139
ASPA,P45381,443
MMP13,P45452,4322
ABCG1,P45844,9619
PPIC,P45877,5480
VDAC2,P45880,7417
ACADSB,P45954,36
CBX5,P45973,23468
USP5,P45974,8078
MAPK8,P45983,5599
MAPK9,P45984,5601
MAP2K4,P45985,6416
MKI67,P46013,4288
PHKA2,P46019,5256
PHKA1,P46020,5255
SLC15A1,P46059,6564
RANGAP1,P46060,5905
RECQL,P46063,5965
NOP2,P46087,4839
GPR3,P46089,2827
CMKLR2,P46091,2825
CCR10,P46092,2826
GPR4,P46093,2828
XCR1,P46094,2829
GPR6,P46095,2830
HTR3A,P46098,3359
ATRX,P46100,546
CRK,P46108,1398
CRKL,P46109,1399
MTIF2,P46199,4528
BAG6,P46379,7917
GSTM5,P46439,2949
NSF,P46459,4905
CDKN1B,P46527,1027
NOTCH1,P46531,4851
ASMT,P46597,438
BDKRB1,P46663,623
IER3,P46695,8870
SLCO1A2,P46721,6579
MAP2K3,P46734,5606
BRCC3,P46736,79184
RPL27A,P46776,6157
RPL5,P46777,6125
RPL21,P46778,6144
RPL28,P46779,6158
RPS9,P46781,6203
RPS5,P46782,6193
RPS10,P46783,6204
MAP1B,P46821,4131
GNPDA1,P46926,10007
NEDD4,P46934,4734
YAP1,P46937,10413
UTRN,P46939,7402
IQGAP1,P46940,8826
HAAO,P46952,23498
GYG1,P46976,2992
STT3A,P46977,3703
GALR1,P47211,2587
RABIF,P47224,5877
CSN1S1,P47710,1446
PLA2G4A,P47712,5321
RAP1GAP,P47736,5909
CAPZA2,P47755,830
CAPZB,P47756,832
GPR12,P47775,2835
RGR,P47804,5995
EIF1AX,P47813,1964
GABRA2,P47869,2555
GABRB2,P47870,2561
GCGR,P47871,2642
SCTR,P47872,6344
OMP,P47874,4975
OR3A1,P47881,4994
OR3A4P,P47883,390756
OR1D4,P47884,653166
OR1E2,P47887,8388
OR3A3,P47888,8392
OR1G1,P47890,8390
OR3A2,P47893,4995
ALDH1A3,P47895,220
QARS1,P47897,5859
HTR5A,P47898,3361
P2RY1,P47900,5028
AVPR1B,P47901,553
CDX1,P47902,1044
RPL29,P47914,6159
ID4,P47928,3400
LGALS7,P47929,3963
LGALS7B,P47929,653499
MT4,P47944,84560
NPTX2,P47972,4885
ZFP36L2,P47974,678
UQCRFS1,P47985,7386
XDH,P47989,7498
XCL1,P47992,6375
FASLG,P48023,356
SLC6A8,P48029,6535
MTNR1A,P48039,4543
ATP5PO,P48047,539
KCNJ1,P48048,3758
KCNJ4,P48050,3761
KCNJ6,P48051,3763
CPA2,P48052,1358
GRIA4,P48058,2893
LIMS1,P48059,3987
GLIPR1,P48060,11010
CXCL12,P48061,6387
SLC6A12,P48065,6539
SLC6A11,P48066,6538
SLC6A9,P48067,6536
NPBWR1,P48145,2831
NPBWR2,P48146,2832
PREP,P48147,5550
ME1,P48163,4199
GJA8,P48165,2703
GLRB,P48167,2743
GABRA4,P48169,2557
IREB2,P48200,3658
ATP5MC3,P48201,518
TM4SF4,P48230,7104
REG1B,P48304,5968
TFPI2,P48307,7980
LEPR,P48357,3953
RFX2,P48378,5990
RFX3,P48380,5991
RFX5,P48382,5993
PIP4K2A,P48426,5305
SOX2,P48431,6657
SOX9,P48436,6662
RXRG,P48443,6258
ARCN1,P48444,372
ALDH3B2,P48448,222
LSS,P48449,4047
PPP3CC,P48454,5533
GCLC,P48506,2729
GCLM,P48507,2730
CD151,P48509,977
PCP4,P48539,5121
KCNJ5,P48544,3762
GIPR,P48546,2696
KCNC1,P48547,3746
KCNJ3,P48549,3760
IFNAR2,P48551,3455
NRIP1,P48552,8204
TRAPPC10,P48553,7109
PSMD8,P48556,5714
SERPINB4,P48594,6318
SERPINB10,P48595,5273
PRRC2A,P48634,7916
GSS,P48637,2937
CCT5,P48643,22948
NMU,P48645,10874
PTDSS1,P48651,9791
SLC1A6,P48664,6511
KRT6C,P48668,286887
NES,P48681,10763
HSPA13,P48723,6782
AMT,P48728,275
CSNK1A1,P48729,1452
CSNK1D,P48730,1453
IDH2,P48735,3418
PIK3CG,P48736,5294
PITPNB,P48739,23760
MASP1,P48740,5648
HSPA7,P48741,3311
LHX1,P48742,3975
CCN3,P48745,4856
SLC4A3,P48751,6508
SLC9A3,P48764,6550
TDO2,P48775,6999
TNNI2,P48788,7136
ADGRE5,P48960,976
TRPC1,P48995,7220
POLD2,P49005,5425
MARCKSL1,P49006,65108
HCAR3,P49019,8843
PXN,P49023,5829
CAMLG,P49069,819
NR2C2,P49116,7182
MAPKAPK2,P49137,9261
NPY2R,P49146,4887
DNASE1L1,P49184,1774
ALDH9A1,P49189,223
PTH2R,P49190,5746
RPL34,P49207,6164
TGM4,P49221,7047
SPINT3,P49223,10816
CX3CR1,P49238,1524
RPIA,P49247,22934
LMAN1,P49257,3998
SLC11A1,P49279,6556
SLC11A2,P49281,4891
MTNR1B,P49286,4544
NASP,P49321,4678
FMO5,P49326,2330
FASN,P49327,2194
POU3F4,P49335,5456
CDK8,P49336,1024
FNTA,P49354,2339
FNTB,P49356,2342
DHPS,P49366,1725
CCT3,P49368,7203
MRPL19,P49406,9801
ARRB1,P49407,408
TUFM,P49411,7284
AMPH,P49418,273
ALDH7A1,P49419,501
CDC34,P49427,997
INPP1,P49441,3628
CYB561,P49447,1534
GLUD2,P49448,2747
CENPA,P49450,1058
CENPF,P49454,1063
SRP9,P49458,6726
UBE2A,P49459,7319
PCYT1A,P49585,5130
AARS1,P49588,16
CARS1,P49589,833
HARS2,P49590,23438
SARS1,P49591,6301
PPM1F,P49593,9647
DGKG,P49619,1608
TTPA,P49638,7274
HOXA1,P49639,3198
EVX1,P49640,2128
MAN2A2,P49641,4122
PRIM1,P49642,5557
PRIM2,P49643,5558
CASP4,P49662,837
CSNK1E,P49674,1454
STAR,P49675,6770
CXCR3,P49682,2833
PRLHR,P49683,2834
GPR15,P49685,2838
ARL4D,P49703,379
CTCF,P49711,10664
CEBPA,P49715,1050
CEBPD,P49716,1052
PSMB3,P49720,5691
PSMB2,P49721,5690
MCM2,P49736,4171
THBS3,P49746,7059
COMP,P49747,1311
ACADVL,P49748,37
YLPM1,P49750,56252
ACOT2,P49753,10965
VPS41,P49754,27072
TMED10,P49755,10972
RBM25,P49756,58517
NUMB,P49757,8650
RGS6,P49758,9628
CLK1,P49759,1195
CLK2,P49760,1196
CLK3,P49761,1198
PGF,P49763,5228
VEGFB,P49765,7423
VEGFC,P49767,7424
PSEN1,P49768,5663
EIF2B2,P49770,8892
FLT3LG,P49771,2323
HINT1,P49773,3094
RARRES1,P49788,5918
FHIT,P49789,2272
NUP153,P49790,9972
RANBP2,P49792,5903
RGS19,P49795,10287
RGS3,P49796,5998
RGS4,P49798,5999
RGS7,P49802,6000
PSEN2,P49810,5664
TSC2,P49815,7249
NDUFV1,P49821,4723
GSK3A,P49840,2931
GSK3B,P49841,2932
STK19,P49842,8859
TAF6,P49848,6878
KLK7,P49862,5650
GZMK,P49863,3003
SULT1E1,P49888,6783
DIO1,P49895,1733
SMCP,P49901,4184
NT5C2,P49902,22978
SEPHS1,P49903,22929
SELENOP,P49908,6414
ZNF165,P49910,7718
CAMP,P49913,820
MTHFS,P49914,10588
GMPS,P49915,8833
LIG3,P49916,3980
LIG4,P49917,3981
CDKN1C,P49918,1028
MRE11,P49959,4361
ENTPD1,P49961,953
AGTR2,P50052,186
KHK,P50053,3795
RBP2,P50120,5948
HNMT,P50135,3176
GNAQ,P50148,2776
GNG4,P50150,2786
GNG10,P50151,2790
IDH3A,P50213,3419
MNX1,P50219,3110
MEOX1,P50221,4222
MEOX2,P50222,4223
SULT1A1,P50225,6817
SULT1A2,P50226,6799
CRIP1,P50238,1396
MMP14,P50281,4323
PPOX,P50336,5498
NPY4R,P50391,5540
GDI2,P50395,2665
EMD,P50402,2010
HTR6,P50406,3362
CPT1A,P50416,1374
GATM,P50440,2628
SLC26A2,P50443,1836
SERPINB8,P50452,5271
SERPINB9,P50453,5272
SERPINH1,P50454,871
LHX2,P50458,9355
CSRP3,P50461,8048
PDLIM4,P50479,8572
ST13,P50502,6767
MXI1,P50539,4601
PEX5,P50542,5830
ERF,P50548,2077
ETV1,P50549,2115
VASP,P50552,7408
ASCL1,P50553,429
DNM2,P50570,1785
METAP2,P50579,10988
NUDT2,P50583,318
TNFSF10,P50591,8743
TUB,P50607,7275
CDK7,P50613,1022
TOB1,P50616,10140
HLCS,P50747,3141
KNTC1,P50748,9735
RASSF2,P50749,9770
CDK9,P50750,1025
LRBA,P50851,987
RNF144A,P50876,9781
BCAM,P50895,4059
PPT1,P50897,5538
RPL14,P50914,9045
CCT8,P50990,10694
CCT4,P50991,10575
ATP1A2,P50993,477
ANXA11,P50995,311
PAPOLA,P51003,10914
FXR1,P51114,8087
FXR2,P51116,9513
GZMM,P51124,3004
RAB5C,P51148,5878
RAB7A,P51149,7879
RAB9A,P51151,9367
RAB13,P51153,5872
RAB28,P51157,9364
RAB27A,P51159,5873
PDE6C,P51160,5146
FABP6,P51161,2172
ATP4B,P51164,496
SCNN1B,P51168,6338
SCNN1G,P51170,6340
SCNN1D,P51172,6339
PLCD1,P51178,5333
DAP,P51397,1611
DAP3,P51398,7818
RORC,P51449,6097
BLK,P51451,640
DUSP3,P51452,1845
INSL3,P51460,3640
ZNF80,P51504,7634
ZNF81,P51508,347344
MMP15,P51511,4324
MMP16,P51512,4325
NOVA1,P51513,4857
ZNF83,P51522,55769
ZNF84,P51523,7637
DNA2,P51530,1763
SMARCA2,P51531,6595
SMARCA4,P51532,6597
IDH3G,P51553,3421
GALK1,P51570,2584
SSR4,P51571,6748
BCAP31,P51572,10134
P2RX1,P51575,5023
TPMT,P51580,7172
P2RY4,P51582,5030
BRCA2,P51587,675
CYP2J2,P51589,1573
RENBP,P51606,5973
MECP2,P51608,4204
HCFC1,P51610,3054
IRAK1,P51617,3654
CAV2,P51636,858
ALDH3A2,P51648,224
ALDH5A1,P51649,7915
GPC3,P51654,2719
HSD17B4,P51659,3295
PSMD7,P51665,5713
UBE2D1,P51668,7321
CCL11,P51671,6356
GPM6A,P51674,2823
CCR3,P51677,1232
CCR4,P51679,1233
CCR5,P51681,1234
CCR6,P51684,1235
CCR8,P51685,1237
CCR9,P51686,10803
SUOX,P51687,6821
SGSH,P51688,6448
ARSD,P51689,414
ARSL,P51690,415
STAT5B,P51692,6777
APLP1,P51693,333
USP11,P51784,8237
ZNF157,P51786,7712
KCNQ1,P51787,3784
CLCN2,P51788,1181
CLCN3,P51790,1182
CLCN4,P51793,1183
CLCN5,P51795,1184
CLCN6,P51797,1185
CLCN7,P51798,1186
CLCNKA,P51800,1187
CLCNKB,P51801,1188
PLXNA3,P51805,55558
DYNLT3,P51808,6990
VAMP7,P51809,6845
GPR143,P51810,4935
XK,P51811,7504
RPS6KA3,P51812,6197
BMX,P51813,660
ZNF41,P51814,7592
ZNF75D,P51815,7626
AFF2,P51816,2334
PRKX,P51817,5613
AFF1,P51825,4299
AFF3,P51826,3899
ADCY7,P51828,113
GUCY2F,P51841,2986
NR0B1,P51843,190
TKTL1,P51854,8277
AKR1D1,P51857,6718
HDGF,P51858,3068
CDR1,P51861,1038
TDGF1P3,P51864,6998
CASP5,P51878,838
LUM,P51884,4060
PRELP,P51888,5549
CNN1,P51911,1264
CCNH,P51946,902
MNAT1,P51948,4331
NEK2,P51955,4751
NEK3,P51956,4752
NEK4,P51957,6787
CCNG1,P51959,900
UBE2E1,P51965,7324
NDUFA8,P51970,4702
HNRNPA3,P51991,220988
FUT6,P51993,2528
MYOM1,P52179,8736
RND2,P52198,8153
PGD,P52209,5226
HNRNPM,P52272,4670
KPNA2,P52292,3838
KPNA1,P52294,3836
NCBP2,P52298,22916
RAP1GDS1,P52306,5910
JAK3,P52333,3718
DGKE,P52429,8526
POLR2H,P52434,5437
POLR2J,P52435,5439
MAP2K6,P52564,5608
ARHGDIA,P52565,396
ARHGDIB,P52566,397
SLC7A2,P52569,6542
AGFG1,P52594,3267
HNRNPF,P52597,3185
STAT2,P52630,6773
GTF2A1,P52655,2957
GTF2A2,P52657,2958
MSH6,P52701,2956
KIF11,P52732,3832
VAV2,P52735,7410
ZNF133,P52736,7692
ZNF136,P52737,7695
ZNF140,P52738,7699
ZNF131,P52739,7690
ZNF132,P52740,7691
ZNF134,P52741,7693
ZNF135,P52742,7694
ZNF137P,P52743,7696
ZNF138,P52744,7697
ZNF142,P52746,7701
ZNF143,P52747,7702
RBM5,P52756,10181
CHN2,P52757,1124
RIDA,P52758,10247
SMS,P52788,6611
HK2,P52789,3099
HK3,P52790,3101
EFNA3,P52797,1944
EFNA4,P52798,1945
EFNB2,P52799,1948
EFNA5,P52803,1946
MRPL12,P52815,6182
STC1,P52823,6781
DGKQ,P52824,1609
NDST1,P52848,3340
NDST2,P52849,8509
THOP1,P52888,7064
AKR1C2,P52895,1646
CAPZA1,P52907,829
HMGA2,P52926,8091
CRIP2,P52943,1397
PDX1,P52945,3651
NUP98,P52948,4928
GBX2,P52951,2637
NKX2-5,P52952,1482
LBX1,P52954,10660
ART1,P52961,417
BLVRA,P53004,644
SLC25A1,P53007,6576
PPP5C,P53041,5536
PLK1,P53350,5347
DAPK1,P53355,1612
ARFIP2,P53365,23647
ARFIP1,P53367,27236
NUDT6,P53370,11162
NUBP1,P53384,4682
ACLY,P53396,47
COL4A4,P53420,1286
FOSB,P53539,2354
CEBPG,P53567,1054
METAP1,P53582,23173
SUCLG1,P53597,8802
MVD,P53602,4597
PGGT1B,P53609,5229
RABGGTB,P53611,5876
COPB1,P53618,1315
COPA,P53621,1314
CTSC,P53634,1075
LIMK1,P53667,3984
LIMK2,P53671,3985
CRYBA2,P53672,1412
CRYBA4,P53673,1413
CRYBB1,P53674,1414
CLTCL1,P53675,8218
AP3M2,P53677,10947
AP2S1,P53680,1175
HCCS,P53701,3052
ITGA8,P53708,8516
MAPK12,P53778,6300
MAPK10,P53779,5602
SLC5A3,P53794,6526
PTTG1IP,P53801,754
POLR2K,P53803,5440
TTC3,P53804,7267
RCAN1,P53805,1827
SMTN,P53814,6525
PLAAT3,P53816,11145
SLC16A1,P53985,6566
